Dept + Number,Professor,Median Grade,Semester (Ex: SP21),# of Students,Notes
SEARCH BEFORE ADDING YOUR CLASS,,,,,
HIST 1200 (FWS: Globalization in the Persian Gulf),Ocampo,A,FA21,24,
HIST 1200 (FWS: Race & Science-Modern Europe),Boling,A,SP22,100,
HIST 1200 (FWS: Writing History),Carnaghi,A,SP21,78,
HIST 1315 (FWS: American Insurgencies),Chang,A,FA20,18,
HIST 1321,King-O’Brien,A-,FA20,12,
HIST 1335 (FWS: Fascisms),Alano,A-,FA20,16,
HIST 1511,Weil,B+,FA19,33,
HIST 1561,Minawi,A-,FA21,18,Prof teaches class like a seminar. discussion sections are not held
HIST 1600,Friedland/Verhoeven,A-,FA20,140,
HIST 1986,Schmitt,A,FA21,35,
HIST 2560,Strauss,A-,SP22,42,
HIST 2590,Falk,B+,SP21,13,
HIST 2958,Florea,B+,SP22,15,"Is functionally the same structure as 2969, just with different content"
HIST 2969,Florea,B+,FA21,75,Be prepared to read around 100 pages some nights
HIST 3519,Gocheleishvili,A-,SP22,68,
HIST 3542,Minawi,A-,SP22,15,
ILRHR 2600,Davis,A,FA20,,
ILRHR 2600,Davis,A,FA21,225,
ILRID 2660,Homrighouse,A-,SP21,147,
ILRLE 2400,Dev,B,FA19,120,
ILRLE 2400,Hutchens,B+,FA21,159,
ILRLE 2400,Smith,B+,SP22,143,
ILRLE 3480,Ehrenberg,A,FA19,57,
ILRLR 1100,DeVault,A-,FA20,168,
ILRLR 1100,Nagaraja ,A-,SP22,180,
ILRLR 1200,Weiner-Heinemann,A-,FA21,33,
ILRLR 2010,Griffith,A-,FA20,,
ILRLR 2010,Gold,A-,SP22,158,
ILRLR 2050,McCarthy,A,SP21,114,
ILRLR 2050,Katz,A-,FA21,184,
ILRLR 2050,Yang,A-,FA21,184,
ILRLR 2050,Litwin,B+,FA18,208,
ILRLR 3055,Nelson,A,FA18,48,
ILRLR 3071,Applegate,A-,FA19,44,
ILRLR 3300,Nelson,A,SP21,178,
ILRLR 4000,Bronfenbrenner,A,FA21,18,
ILRLR 4023,Saleh,A,SP22,44,
ILRLR 4033,Saleh,A,SP22,53,
ILROB 1220,Rissing,A,FA20,210,
ILROB 1220,Rissing,A,SP21,,a
ILROB 1220,Rissing,A ,FA21,208,
ILRST2100,Entner ,A-,SP22,457,
INFO 1260,Kleinberg/Levy,A,SP21,464,crosslisted with CS 1340
INFO 1260,Kleinberg/Levy,A,SP22,691,
